Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2;Ecology_3;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Shops_2;bigger_then_mean;number_of_ad;ads_category;many_ads;normally_ads
14038;35;2.0;47.98156;32.554848;6.0;7;9.0;1969;0.08903972;0;0;33;7976;5;800.0;0;11;0;1;8;few_ads;0.0;0.0
15053;41;3.0;65.68364;40.04954;8.0;7;9.0;1978;6.99893e-05;0;0;46;10309;1;240.0;1;16;0;0;39;normally_ads;0.0;1.0
4765;53;2.0;44.947952;32.554848;6.0;8;12.0;1968;0.049637258;0;0;34;7759;0;229.0;1;3;0;0;76;normally_ads;0.0;1.0
5809;58;2.0;53.35298;31.817438;9.0;8;17.0;1977;0.43788525;0;0;23;5735;3;1084.0;0;5;0;0;85;normally_ads;0.0;1.0
10783;99;1.0;39.649193;21.663929;7.0;11;12.0;1976;0.012338886;0;0;35;5776;1;2078.0;2;4;0;1;44;normally_ads;0.0;1.0
12915;59;3.0;80.384476;46.68372;12.0;5;17.0;2011;0.30947912;0;0;35;7715;4;990.0;0;6;0;0;30;normally_ads;0.0;1.0
14549;154;2.0;62.254112;37.160378;7.0;3;5.0;1960;0.4605564;0;0;20;4386;14;1322.0;1;5;0;0;3;few_ads;0.0;0.0
11993;74;2.0;80.31293;32.554848;6.0;14;14.0;1977;0.07577875;0;0;6;1437;3;1940.0;0;2;0;1;56;normally_ads;0.0;1.0
5172;1;2.0;64.51144;32.554848;1.0;9;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;1;306;many_ads;1.0;0.0
8649;23;1.0;46.46141;21.663929;8.0;13;17.0;2014;0.07577875;0;0;6;1437;3;1406.0;0;2;0;1;304;many_ads;1.0;0.0
15370;28;2.0;46.304905;32.554848;6.0;8;9.0;1973;0.11853738;0;0;30;6207;1;1183.0;1;0;0;0;35;normally_ads;0.0;1.0
12427;31;3.0;68.80886;45.736904;7.0;1;8.0;1959;0.0;0;0;23;3684;2;1046.0;0;4;0;0;31;normally_ads;0.0;1.0
6452;13;2.0;54.522804;31.759752;1.0;8;12.0;1999;0.0907991;0;0;74;19083;2;1406.0;5;15;0;0;51;normally_ads;0.0;1.0
2408;57;3.0;68.10274;39.311493;8.0;6;12.0;1980;0.13321534;0;0;49;11395;3;1406.0;3;4;1;0;51;normally_ads;0.0;1.0
10953;27;1.0;53.769096;52.408028;1.0;5;5.0;1977;0.072157584;0;0;2;629;1;262.0;0;0;1;1;452;many_ads;1.0;0.0
2823;85;3.0;73.61223;53.89209;6.0;4;9.0;1979;0.03717782;0;0;52;11217;1;2300.0;1;7;0;1;40;normally_ads;0.0;1.0
2119;27;2.0;49.36065;31.993963;5.0;6;6.0;1983;0.051815435;0;0;5;1227;0;262.0;0;0;0;0;452;many_ads;1.0;0.0
3000;34;2.0;57.969963;32.01248;9.0;6;14.0;2001;0.069753364;0;0;53;13670;4;800.0;1;11;0;0;53;normally_ads;0.0;1.0
2829;57;1.0;44.51348;21.663929;8.0;6;12.0;1983;0.13321534;0;0;49;11395;3;1406.0;3;4;1;1;51;normally_ads;0.0;1.0
4909;19;3.0;110.95979;56.996765;11.0;16;25.0;2012;0.000991363;0;0;33;6783;3;990.0;1;9;0;1;17;few_ads;0.0;0.0
8862;0;3.0;103.60529;47.799427;10.0;12;17.0;2002;0.31980935;0;0;25;4756;16;2857.0;5;8;0;1;22;few_ads;0.0;0.0
11935;27;2.0;64.71184;32.554848;1.0;15;15.0;1977;0.21140121;0;0;9;1892;0;262.0;0;1;0;1;452;many_ads;1.0;0.0
11852;48;1.0;41.668648;21.663929;10.0;19;22.0;1996;0.041124634;0;0;46;9515;5;2620.0;1;10;0;1;48;normally_ads;0.0;1.0
6641;54;3.0;118.90761;46.96048;7.0;2;2.0;1977;0.006076152;0;0;30;5285;0;645.0;6;6;0;1;26;few_ads;0.0;0.0
7704;150;3.0;62.180534;44.169693;5.0;4;5.0;1964;0.020741327;0;0;24;5613;5;1340.0;2;5;0;0;4;few_ads;0.0;0.0
5073;74;2.0;82.667915;32.554848;1.0;16;17.0;1977;0.07577875;0;0;6;1437;3;1940.0;0;2;0;1;56;normally_ads;0.0;1.0
4378;27;3.0;106.95887;46.96048;7.0;17;17.0;2018;0.072157584;0;0;2;629;1;262.0;0;0;1;1;452;many_ads;1.0;0.0
7550;23;2.0;64.556206;32.554848;1.0;8;17.0;1977;0.07577875;0;0;6;1437;3;1406.0;0;2;0;1;304;many_ads;1.0;0.0
8054;23;1.0;42.530045;31.483093;1.0;3;9.0;2014;0.03465608;0;0;0;168;0;1406.0;0;0;0;1;304;many_ads;1.0;0.0
522;11;2.0;48.37223;31.007582;6.0;4;9.0;1972;0.000169676;0;0;36;5992;0;30.0;1;1;0;0;65;normally_ads;0.0;1.0
89;50;2.0;39.435352;19.899807;7.0;9;9.0;1965;0.007658515;0;0;35;7077;56;2301.0;3;19;0;0;1;few_ads;0.0;0.0
4785;61;1.0;41.765156;21.663929;9.0;12;16.0;1984;0.30032253;0;0;52;10311;6;80.0;1;9;0;1;66;normally_ads;0.0;1.0
13253;27;2.0;63.679115;37.275776;1.0;9;15.0;1977;0.017647052;0;0;2;469;0;262.0;0;0;0;1;452;many_ads;1.0;0.0
13905;44;1.0;34.767227;21.663929;6.0;7;9.0;1972;0.036122292;0;0;24;4378;0;1036.0;1;1;0;0;62;normally_ads;0.0;1.0
8384;90;2.0;42.17678;32.554848;5.0;2;5.0;1965;0.26508868;0;0;37;5288;0;1937.0;3;2;0;0;39;normally_ads;0.0;1.0
6486;200;3.0;85.28039;58.447968;9.0;6;6.0;1960;0.0;0;0;33;7425;1;1815.0;2;5;0;0;1;few_ads;0.0;0.0
11703;23;1.0;41.118767;21.663929;1.0;4;17.0;1977;0.07577875;0;0;6;1437;3;1406.0;0;2;0;1;304;many_ads;1.0;0.0
14591;43;2.0;43.70166;32.554848;5.0;5;9.0;1961;0.015016892;0;0;17;3079;59;2890.0;0;8;0;0;4;few_ads;0.0;0.0
8224;177;3.0;77.87394;48.991135;12.0;9;25.0;2012;0.0;0;0;36;6714;2;2672.0;0;2;0;1;9;few_ads;0.0;0.0
9371;23;2.0;60.50325;32.554848;6.0;16;16.0;1977;0.03465608;0;0;0;168;0;1406.0;0;0;0;0;304;many_ads;1.0;0.0
10739;99;2.0;45.257137;32.613827;5.0;4;5.0;1971;0.03349371;0;0;66;10573;1;1322.0;3;8;0;0;44;normally_ads;0.0;1.0
1853;101;3.0;58.419815;37.275616;5.0;5;5.0;1963;0.22582495;1;0;41;6558;7;1548.0;3;2;0;0;46;normally_ads;0.0;1.0
9833;1;2.0;56.494316;37.958775;6.0;9;17.0;1977;0.007122317;0;0;1;264;0;645.0;0;1;0;0;306;many_ads;1.0;0.0
175;23;2.0;58.69213;32.554848;1.0;16;17.0;1977;0.07577875;0;0;6;1437;3;1406.0;0;2;0;0;304;many_ads;1.0;0.0
10521;38;3.0;104.211395;78.57708;7.0;20;20.0;2017;0.060753047;0;0;15;2787;2;520.0;0;7;0;1;18;few_ads;0.0;0.0
7008;21;2.0;48.85174;33.533432;5.0;5;5.0;1970;0.19448927;0;0;47;8004;3;125.0;3;5;0;1;73;normally_ads;0.0;1.0
1821;23;2.0;49.92949;32.554848;1.0;9;12.0;1977;0.03465608;0;0;0;168;0;1406.0;0;0;0;0;304;many_ads;1.0;0.0
14292;103;1.0;41.53814;21.663929;8.0;7;16.0;1981;0.014423114;0;0;19;3806;4;705.0;0;3;0;1;16;few_ads;0.0;0.0
7596;23;1.0;47.0801;25.03315;12.0;3;9.0;1977;0.014072961;0;0;2;475;0;1406.0;0;0;0;1;304;many_ads;1.0;0.0
13393;98;1.0;41.270615;21.663929;7.0;8;14.0;2003;0.19578105;0;0;23;5212;6;3855.0;3;2;0;1;7;few_ads;0.0;0.0
2221;170;1.0;35.390236;21.663929;5.0;3;5.0;1963;0.21843974;0;0;21;4472;6;1450.0;4;7;1;0;6;few_ads;0.0;0.0
10103;94;1.0;35.280895;21.663929;6.0;11;11.0;1971;0.28279766;0;0;33;8667;2;30.0;0;6;0;0;56;normally_ads;0.0;1.0
2301;1;2.0;61.400055;42.86451;6.0;17;22.0;2016;0.007122317;0;0;1;264;0;645.0;0;1;0;0;306;many_ads;1.0;0.0
6455;44;1.0;31.893484;21.663929;7.0;3;14.0;1973;0.17505486;0;0;36;10055;3;1036.0;1;0;0;0;62;normally_ads;0.0;1.0
